county,office,district,party,candidate,votes
Gentry,United States Senator,,Write-In,Nathan V. Mooney,0
Gentry,United States Senator,,Write-In,Theo Brown Sr,0
Gentry,United States Senator,,Write-In,David Kirk,0
Greene,United States Senator,,Republican,Eric Schmitt,55499
Greene,United States Senator,,Democratic,Trudy Busch Valentine,39211
Greene,United States Senator,,Libertarian,Jonathan Dine,2223
Greene,United States Senator,,Constitution,Paul Venable,1078
Greene,United States Senator,,Write-In,Nathan V. Mooney,0
Greene,United States Senator,,Write-In,Theo Brown Sr,0
Greene,United States Senator,,Write-In,David Kirk,0
Grundy,United States Senator,,Republican,Eric Schmitt,2514
Grundy,United States Senator,,Democratic,Trudy Busch Valentine,641
Grundy,United States Senator,,Libertarian,Jonathan Dine,46
Grundy,United States Senator,,Constitution,Paul Venable,25
Grundy,United States Senator,,Write-In,Nathan V. Mooney,0
Grundy,United States Senator,,Write-In,Theo Brown Sr,0
Grundy,United States Senator,,Write-In,David Kirk,0
Harrison,United States Senator,,Republican,Eric Schmitt,2237
Harrison,United States Senator,,Democratic,Trudy Busch Valentine,445
Harrison,United States Senator,,Libertarian,Jonathan Dine,41
Harrison,United States Senator,,Constitution,Paul Venable,13
Harrison,United States Senator,,Write-In,Nathan V. Mooney,0
Harrison,United States Senator,,Write-In,Theo Brown Sr,0
Harrison,United States Senator,,Write-In,David Kirk,0
Henry,United States Senator,,Republican,Eric Schmitt,5232
Henry,United States Senator,,Democratic,Trudy Busch Valentine,2084
Henry,United States Senator,,Libertarian,Jonathan Dine,128
Henry,United States Senator,,Constitution,Paul Venable,84
Henry,United States Senator,,Write-In,Nathan V. Mooney,0
Henry,United States Senator,,Write-In,Theo Brown Sr,0
Henry,United States Senator,,Write-In,David Kirk,0
Hickory,United States Senator,,Republican,Eric Schmitt,2747
Hickory,United States Senator,,Democratic,Trudy Busch Valentine,796
Hickory,United States Senator,,Libertarian,Jonathan Dine,87
Hickory,United States Senator,,Constitution,Paul Venable,38
Hickory,United States Senator,,Write-In,Nathan V. Mooney,0
Hickory,United States Senator,,Write-In,Theo Brown Sr,0
Hickory,United States Senator,,Write-In,David Kirk,0
Holt,United States Senator,,Republican,Eric Schmitt,1383
Holt,United States Senator,,Democratic,Trudy Busch Valentine,262
Holt,United States Senator,,Libertarian,Jonathan Dine,20
Holt,United States Senator,,Constitution,Paul Venable,6
Holt,United States Senator,,Write-In,Nathan V. Mooney,0
Holt,United States Senator,,Write-In,Theo Brown Sr,0
Holt,United States Senator,,Write-In,David Kirk,0
Howard,United States Senator,,Republican,Eric Schmitt,2529
Howard,United States Senator,,Democratic,Trudy Busch Valentine,1212
Howard,United States Senator,,Libertarian,Jonathan Dine,99
Howard,United States Senator,,Constitution,Paul Venable,32
Howard,United States Senator,,Write-In,Nathan V. Mooney,0
Howard,United States Senator,,Write-In,Theo Brown Sr,0
Howard,United States Senator,,Write-In,David Kirk,0
Howell,United States Senator,,Republican,Eric Schmitt,10336
Howell,United States Senator,,Democratic,Trudy Busch Valentine,2452
Howell,United States Senator,,Libertarian,Jonathan Dine,342
Howell,United States Senator,,Constitution,Paul Venable,168
Howell,United States Senator,,Write-In,Nathan V. Mooney,0
Howell,United States Senator,,Write-In,Theo Brown Sr,0
Howell,United States Senator,,Write-In,David Kirk,0
Iron,United States Senator,,Republican,Eric Schmitt,2246
Iron,United States Senator,,Democratic,Trudy Busch Valentine,747
Iron,United States Senator,,Libertarian,Jonathan Dine,49
Iron,United States Senator,,Constitution,Paul Venable,30
Iron,United States Senator,,Write-In,Nathan V. Mooney,0
Iron,United States Senator,,Write-In,Theo Brown Sr,0
Iron,United States Senator,,Write-In,David Kirk,0
Jackson,United States Senator,,Republican,Eric Schmitt,64471
Jackson,United States Senator,,Democratic,Trudy Busch Valentine,62895
Jackson,United States Senator,,Libertarian,Jonathan Dine,2188
Jackson,United States Senator,,Constitution,Paul Venable,1041
Jackson,United States Senator,,Write-In,Nathan V. Mooney,1
Jackson,United States Senator,,Write-In,Theo Brown Sr,0
Jackson,United States Senator,,Write-In,David Kirk,0
Jasper,United States Senator,,Republican,Eric Schmitt,25183
Jasper,United States Senator,,Democratic,Trudy Busch Valentine,8500
Jasper,United States Senator,,Libertarian,Jonathan Dine,785
Jasper,United States Senator,,Constitution,Paul Venable,231
Jasper,United States Senator,,Write-In,Nathan V. Mooney,0
Jasper,United States Senator,,Write-In,Theo Brown Sr,0
Jasper,United States Senator,,Write-In,David Kirk,0
Jefferson,United States Senator,,Republican,Eric Schmitt,48881
Jefferson,United States Senator,,Democratic,Trudy Busch Valentine,28670
Jefferson,United States Senator,,Libertarian,Jonathan Dine,1226
Jefferson,United States Senator,,Constitution,Paul Venable,660
Jefferson,United States Senator,,Write-In,Nathan V. Mooney,0
Jefferson,United States Senator,,Write-In,Theo Brown Sr,0
Jefferson,United States Senator,,Write-In,David Kirk,0
Johnson,United States Senator,,Republican,Eric Schmitt,10019
Johnson,United States Senator,,Democratic,Trudy Busch Valentine,5134
Johnson,United States Senator,,Libertarian,Jonathan Dine,376
Johnson,United States Senator,,Constitution,Paul Venable,143
Johnson,United States Senator,,Write-In,Nathan V. Mooney,0
Johnson,United States Senator,,Write-In,Theo Brown Sr,0
Johnson,United States Senator,,Write-In,David Kirk,0
Kansas City,United States Senator,,Republican,Eric Schmitt,16353
Kansas City,United States Senator,,Democratic,Trudy Busch Valentine,68143
Kansas City,United States Senator,,Libertarian,Jonathan Dine,1134
Kansas City,United States Senator,,Constitution,Paul Venable,373
Kansas City,United States Senator,,Write-In,Nathan V. Mooney,1
Kansas City,United States Senator,,Write-In,Theo Brown Sr,0
Kansas City,United States Senator,,Write-In,David Kirk,0
Knox,United States Senator,,Republican,Eric Schmitt,996
Knox,United States Senator,,Democratic,Trudy Busch Valentine,317
Knox,United States Senator,,Libertarian,Jonathan Dine,32
Knox,United States Senator,,Constitution,Paul Venable,21
Knox,United States Senator,,Write-In,Nathan V. Mooney,0
Knox,United States Senator,,Write-In,Theo Brown Sr,0
Knox,United States Senator,,Write-In,David Kirk,0
Laclede,United States Senator,,Republican,Eric Schmitt,9018
Laclede,United States Senator,,Democratic,Trudy Busch Valentine,1948
Laclede,United States Senator,,Libertarian,Jonathan Dine,260
Laclede,United States Senator,,Constitution,Paul Venable,125
Laclede,United States Senator,,Write-In,Nathan V. Mooney,0
Laclede,United States Senator,,Write-In,Theo Brown Sr,0
Laclede,United States Senator,,Write-In,David Kirk,0
Lafayette,United States Senator,,Republican,Eric Schmitt,8233
Lafayette,United States Senator,,Democratic,Trudy Busch Valentine,3525
Lafayette,United States Senator,,Libertarian,Jonathan Dine,213
Lafayette,United States Senator,,Constitution,Paul Venable,59
Lafayette,United States Senator,,Write-In,Nathan V. Mooney,0
Lafayette,United States Senator,,Write-In,Theo Brown Sr,0
